n,utterance,annotated,predicted,confidence,cause,explication
1,Do I need stamps ?,neutre,engagement,76%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
2,Is that difficult ?,neutre,engagement,72%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
3,"It's ok. I bought tickets during matinee hours so it wasn't too bad. Yes, the po...",neutre,satisfaction,59%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
4,Nice! Mowing the lawn isn't fun in the heat unless you're using a super fast one...,neutre,satisfaction,76%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
5,OK . Just think for a bit . I'll go help another customer . I'll be right back .,neutre,stress,62%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
6,Rock climbing is actually not scary unless you're afraid of heights of course.,neutre,stress,98%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
7,oh i can understand that,neutre,confusion,60%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
8,"She wasn't really fired, her position was no more. Schools don't have much room ...",neutre,confusion,59%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
9,She does it more because she likes it than to bug me. It's going to be stuck in ...,neutre,frustration,90%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
10,I also heard if a player has committed 5 fouls then he must be out of the game .,neutre,frustration,53%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
11,"I think that can affect even the best of us, I wouldn't let it get you down.",engagement,satisfaction,80%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
12,Thank you so much,engagement,satisfaction,98%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
13,Uh oh! What happend?,engagement,confusion,92%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
14,"Of course not, i went straight to sleep!",engagement,confusion,52%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
15,Can you explain more?,confusion,engagement,71%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
16,Congrats! I bet that makes you feel great!,confusion,engagement,91%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
17,Good job! How do you think you did on it?,satisfaction,engagement,58%,Ambiguïté positive,"Les émotions positives (satisfaction, engagement) partagent un lexique similaire. La distinction nécessite le contexte complet."
18,"That is amazing, did it lower your insurance rates too?",satisfaction,engagement,96%,Ambiguïté positive,"Les émotions positives (satisfaction, engagement) partagent un lexique similaire. La distinction nécessite le contexte complet."
19,"I've began looking already, but it's going to be a very difficult transition and...",frustration,stress,96%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
20,"My wife left me a month ago.My friends are trying to help me,but it's not workin...",frustration,stress,73%,Ambiguïté contextuelle,Le texte ne contient pas assez de marqueurs explicites pour distinguer les deux émotions sans contexte conversationnel.
